epoch,train_loss,val_loss,val_dice,val_iou
1,0.5345555305480957,0.5902488470077515,3.4873257059864216e-11,3.4873257059864216e-11
2,0.4571612149477005,0.5322855710983276,0.33965704903239385,0.20864430942456239
3,0.418680402636528,0.39855389595031737,0.9456258296966553,0.8969446778297424
4,0.38457966446876524,0.3652821958065033,0.9117819309234619,0.8380337983369828
5,0.36191257238388064,0.35605520009994507,0.8733564913272858,0.7755398839712143
6,0.3410895258188248,0.333627313375473,0.9333963453769684,0.8753074049949646
7,0.32048809826374053,0.31428018808364866,0.9338699996471405,0.8761504262685775
8,0.30093760788440704,0.29175400733947754,0.9869535863399506,0.9742721319198608
9,0.282313796877861,0.27367075681686404,0.986087703704834,0.9725880861282349
10,0.2652195289731026,0.2538594126701355,0.9911225259304046,0.9824151158332824
