threshold,mean_dice,mean_iou
0.1,0.13726764107123018,0.0756529550999403
0.15000000000000002,0.1403108887374401,0.07762477034702897
0.20000000000000004,0.2644063957035542,0.17762378701008857
0.25000000000000006,0.2842187293805182,0.19787444942630827
0.30000000000000004,0.2976098376326263,0.21082241251133382
0.3500000000000001,0.398458700068295,0.289700323715806
0.40000000000000013,0.8462393939495086,0.7501067668199539
0.45000000000000007,0.9801655441522599,0.9612029522657395
0.5000000000000001,0.9850847393274307,0.9706590801477433
0.5500000000000002,0.9885009557008744,0.9772894829511642
0.6000000000000002,0.990577632188797,0.9813430726528167
0.6500000000000001,0.9912776112556457,0.9827163130044937
0.7000000000000002,0.9902276575565339,0.9806630074977875
0.7500000000000002,0.9865608751773834,0.9735198318958282
0.8000000000000002,0.9787850201129913,0.9585226595401763
0.8500000000000002,0.9666888028383255,0.9356195002794265
0.9000000000000002,0.9449187040328979,0.8957040846347809
0.9500000000000003,0.9072561025619507,0.8304245054721833
