image_id,otsu_dice,otsu_iou,unet_dice,unet_iou,dice_difference_unet_minus_otsu,gt_n_objects,otsu_n_objects,unet_n_objects,otsu_count_abs_error,unet_count_abs_error,count_error_difference_unet_minus_otsu
val_000,0.9666666666691919,0.9354838709772018,0.9929632544517517,0.9860248565673828,0.026296587782559833,5,5,5,0,0,0
val_001,0.966922819913499,0.9359637774916783,0.9938237071037292,0.9877232313156128,0.026900887190230205,31,25,26,6,5,-1
val_002,0.9685909808743887,0.9390949302504561,0.9964170455932617,0.9928597211837769,0.027826064718873056,17,16,16,1,1,0
val_003,0.971848585079222,0.9452387760945776,0.9943828582763672,0.9888284802436829,0.022534273197145183,36,28,28,8,8,0
val_004,0.9669607730798405,0.9360349034982176,0.9919459819793701,0.9840207099914551,0.0249852088995296,80,42,45,38,35,-3
val_005,0.9683768724222565,0.9386924803600071,0.9907170534133911,0.9816048741340637,0.02234018099113466,48,17,18,31,30,-1
val_006,0.9683257918560993,0.9385964912314366,0.994854211807251,0.9897611141204834,0.026528419951151627,9,8,8,1,1,0
val_007,0.9706796116507701,0.9430296170544609,0.9952040910720825,0.9904538989067078,0.024524479421312417,28,20,20,8,8,0
val_008,0.9740971828325383,0.9495023958726594,0.9964845776557922,0.9929937720298767,0.022387394823253914,25,21,21,4,4,0
val_009,0.9676074406676137,0.9372475924219557,0.9949732422828674,0.9899967908859253,0.027365801615253704,20,20,20,0,0,0
val_010,0.9672461310156495,0.9365698450175862,0.9938533306121826,0.9877817630767822,0.026607199596533126,64,43,43,21,21,0
val_011,0.9772382397574736,0.9554896142443394,0.9930921196937561,0.9862790703773499,0.01585387993628251,31,14,14,17,17,0
val_012,0.9626779530603048,0.9280415430320444,0.9948879480361938,0.9898278713226318,0.032209994975889056,8,8,8,0,0,0
val_013,0.9689165186504339,0.9397071490107729,0.9962967038154602,0.9926207661628723,0.027380185165026272,27,25,25,2,2,0
val_014,0.9721931355442444,0.9458908761615148,0.9956187009811401,0.9912756681442261,0.02342556543689578,21,16,17,5,4,-1
val_015,0.9716051767435618,0.9447783621347713,0.9938386082649231,0.9877527356147766,0.022233431521361258,26,21,21,5,5,0
val_016,0.9703886179680741,0.9424804687505617,0.9943422675132751,0.9887482523918152,0.023953649545201072,60,37,39,23,21,-2
val_017,0.9751057598440034,0.9514208604548116,0.9930092692375183,0.986115574836731,0.017903509393514927,48,19,19,29,29,0
val_018,0.972222222223357,0.9459459459502427,0.9967023730278015,0.9934264421463013,0.024480150804444545,7,7,7,0,0,0
val_019,0.9657738095243188,0.9338129496421924,0.9967252016067505,0.9934718012809753,0.030951392082431695,19,18,19,1,0,-1
