threshold,mean_dice,mean_iou
0.1,0.13726442912593484,0.07565078735351563
0.15000000000000002,0.1372695199213922,0.07565403413027524
0.20000000000000004,0.14426978658884765,0.08001836640760303
0.25000000000000006,0.3569767002016306,0.22750521413981914
0.30000000000000004,0.9103356510400772,0.8364070683717728
0.3500000000000001,0.954538032412529,0.9131855726242065
0.40000000000000013,0.9681758850812912,0.9384098649024963
0.45000000000000007,0.9764904767274857,0.9541159421205521
0.5000000000000001,0.982064551115036,0.9647942692041397
0.5500000000000002,0.9865465760231018,0.9734760284423828
0.6000000000000002,0.9903546333312988,0.9809077203273773
0.6500000000000001,0.992699208855629,0.9855116695165634
0.7000000000000002,0.9945066273212433,0.9890783697366714
0.7500000000000002,0.993654465675354,0.9874018520116806
0.8000000000000002,0.9887243330478668,0.9777351498603821
0.8500000000000002,0.9760491013526916,0.9532743364572525
0.9000000000000002,0.9552433550357818,0.9143773287534713
0.9500000000000003,0.9128758400678635,0.839808139204979
