epoch,train_loss,val_loss,val_dice,val_iou
1,0.7567094445228577,0.8725841522216797,3.4873257059864216e-11,3.4873257059864216e-11
2,0.7199194490909576,0.8607250213623047,0.5053650602698326,0.34344565570354463
3,0.704125189781189,0.8354836940765381,0.8851268380880356,0.7949495077133178
4,0.6901850938796997,0.7498865365982056,0.8897638291120529,0.8021937876939773
5,0.6772629797458649,0.7263890385627747,0.8813841730356217,0.7882306814193726
6,0.6659702777862548,0.6797662138938904,0.8265015214681626,0.7049107521772384
7,0.651847779750824,0.6899873852729798,0.9371705174446106,0.882087630033493
8,0.6389820098876953,0.6840206265449524,0.9719751805067063,0.9456113845109939
9,0.6266599118709564,0.6522188663482666,0.9850847393274307,0.9706590801477433
10,0.6125206649303436,0.642739188671112,0.9677210807800293,0.9376037240028381
