method,loss,mean_dice,mean_iou,std_dice,std_iou,epochs,seed,threshold
Otsu + morphology,not applicable,0.9696722144688421,0.9411511224825743,0.003410636538509961,0.006432116477130978,0,42,
U-Net (combined),combined,0.9945066273212433,0.9890783697366714,0.001606880374460419,0.003176434166561282,10,42,0.7000000000000002
U-Net (bce),bce,0.9936461061239242,0.9873813539743423,0.002133316045858358,0.004209313276407604,10,42,0.6000000000000002
U-Net (dice),dice,0.9912776112556457,0.9827163130044937,0.002293811990554136,0.0045044670855636,10,42,0.6500000000000001
