epoch,train_loss,val_loss,val_dice,val_iou
1,1.294502079486847,1.460536575317383,3.4873257059864216e-11,3.4873257059864216e-11
2,1.184041166305542,1.3956027269363402,0.3839940190393494,0.2429022401649521
3,1.130098569393158,1.2597877025604247,0.8527422845363617,0.7460400313138962
4,1.0806155443191527,1.0884587049484253,0.9293459296226502,0.8684146702289581
5,1.0405950903892518,1.0551116466522217,0.8824367672204971,0.7899580210447311
6,1.0073127388954162,1.0211497783660888,0.9198488414287567,0.8518685758113861
7,0.9727382302284241,0.9813431620597839,0.9274325489997863,0.8648904025554657
8,0.9387273728847504,0.9439236879348755,0.9659442156553268,0.9342438161373139
9,0.9049893915653229,0.9136924862861633,0.9746668785810471,0.9506459146738052
10,0.872339916229248,0.8831340789794921,0.982064551115036,0.9647942692041397
