threshold,mean_dice,mean_iou
0.1,0.13726442912593484,0.07565078735351563
0.15000000000000002,0.13726480612531305,0.07565102092921734
0.20000000000000004,0.13873258903622626,0.07657208680175245
0.25000000000000006,0.3557442605495453,0.22647089120000602
0.30000000000000004,0.9113494664430618,0.8386499673128128
0.3500000000000001,0.9655037671327591,0.9334409892559051
0.40000000000000013,0.9790525257587432,0.9590190172195434
0.45000000000000007,0.9866893827915192,0.9737585812807084
0.5000000000000001,0.9911225259304046,0.9824151158332824
0.5500000000000002,0.9934851497411727,0.9870601415634155
0.6000000000000002,0.9936461061239242,0.9873813539743423
0.6500000000000001,0.9899282217025757,0.9800882071256638
0.7000000000000002,0.9809461295604706,0.9626729398965835
0.7500000000000002,0.9674067080020905,0.9369623243808747
0.8000000000000002,0.9505683511495591,0.9059013396501541
0.8500000000000002,0.9271880388259888,0.8644348442554474
0.9000000000000002,0.8983214914798736,0.8155742347240448
0.9500000000000003,0.8426797330379486,0.728419479727745
